 Name, City, IATA, Latitude, Longitude
Goroka Airport,Goroka,GKA,-6.081689835,145.3919983
Madang Airport,Madang,MAG,-5.207079887,145.7890015
Mount Hagen Kagamuga Airport,Mount Hagen,HGU,-5.826789856,144.2960052
Nadzab Airport,Nadzab,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,Port Moresby,POM,-9.443380356,147.2200012
Wewak International Airport,Wewak,WWK,-3.583830118,143.6690063
Narsarsuaq Airport,Narssarssuaq,UAK,61.16049957,-45.42599869
Godthaab / Nuuk Airport,Godthaab,GOH,64.19090271,-51.67810059
Kangerlussuaq Airport,Sondrestrom,SFJ,67.0122219,-50.71160316
Thule Air Base,Thule,THU,76.53119659,-68.70320129
Akureyri Airport,Akureyri,AEY,65.66000366,-18.0727005
Egilsstaðir Airport,Egilsstadir,EGS,65.28330231,-14.40139961
Hornafjörður Airport,Hofn,HFN,64.295601,-15.2272
Húsavík Airport,Husavik,HZK,65.952301,-17.426001
Ísafjörður Airport,Isafjordur,IFJ,66.05809784,-23.13529968
Keflavik International Airport,Keflavik,KEF,63.98500061,-22.60560036
Patreksfjörður Airport,Patreksfjordur,PFJ,65.555801,-23.965
Reykjavik Airport,Reykjavik,RKV,64.12999725,-21.94059944
Siglufjörður Airport,Siglufjordur,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,Vestmannaeyjar,VEY,63.42430115,-20.27890015
Sault Ste Marie Airport,Sault Sainte Marie,YAM,46.48500061,-84.50939941
Winnipeg / St. Andrews Airport,Winnipeg,\N,50.0564003,-97.03250122
Halifax / CFB Shearwater Heliport,Halifax,\N,44.639702,-63.499401
St. Anthony Airport,St. Anthony,YAY,51.39189911,-56.08309937
Tofino / Long Beach Airport,Tofino,YAZ,49.079833,-125.775583
Kugaaruk Airport,Pelly Bay,YBB,68.534401,-89.808098
Baie Comeau Airport,Baie Comeau,YBC,49.13249969,-68.20439911
CFB Bagotville,Bagotville,YBG,48.33060074,-70.99639893
Baker Lake Airport,Baker Lake,YBK,64.29889679,-96.07779694
Campbell River Airport,Campbell River,YBL,49.95080185,-125.2710037
Brandon Municipal Airport,Brandon,YBR,49.91,-99.951897
Cambridge Bay Airport,Cambridge Bay,YCB,69.10810089,-105.1380005
Nanaimo Airport,Nanaimo,YCD,49.05497022,-123.8698626
Castlegar/West Kootenay Regional Airport,Castlegar,YCG,49.29639816,-117.6320038
Miramichi Airport,Chatham,YCH,47.007801,-65.449203
Charlo Airport,Charlo,YCL,47.990799,-66.330299
Kugluktuk Airport,Coppermine,YCO,67.816704,-115.143997
Coronation Airport,Coronation,YCT,52.07500076,-111.4449997
Chilliwack Airport,Chilliwack,YCW,49.15280151,-121.939003
Clyde River Airport,Clyde River,YCY,70.48609924,-68.51670074
Coral Harbour Airport,Coral Harbour,YZS,64.19329834,-83.35939789
Dawson City Airport,Dawson,YDA,64.04309845,-139.128006
Burwash Airport,Burwash,YDB,61.37110138,-139.0410004
Princeton Airport,Princeton,\N,49.4681015,-120.5110016
Deer Lake Airport,Deer Lake,YDF,49.21080017,-57.39139938
Dease Lake Airport,Dease Lake,YDL,58.42219925,-130.0319977
Dauphin Barker Airport,Dauphin,YDN,51.10079956,-100.052002
Dawson Creek Airport,Dawson Creek,YDQ,55.74229813,-120.1829987
Edmonton International Airport,Edmonton,YEG,53.30970001,-113.5800018
Arviat Airport,Eskimo Point,YEK,61.09420013,-94.07080078
Estevan Airport,Estevan,YEN,49.21030045,-102.9660034
Edson Airport,Edson,YET,53.57889938,-116.4649963
Eureka Airport,Eureka,YEU,79.99469757,-85.81420136
Inuvik Mike Zubko Airport,Inuvik,YEV,68.30419922,-133.4830017
Iqaluit Airport,Iqaluit,YFB,63.756402,-68.555801
Fredericton Airport,Fredericton,YFC,45.8689003,-66.53720093
Forestville Airport,Forestville,YFE,48.74610138,-69.09719849
Flin Flon Airport,Flin Flon,YFO,54.67810059,-101.6819992
Fort Resolution Airport,Fort Resolution,YFR,61.18080139,-113.6900024
Fort Simpson Airport,Fort Simpson,YFS,61.7602005,-121.2369995
Kingston Norman Rogers Airport,Kingston,YGK,44.22529984,-76.59690094
La Grande Rivière Airport,La Grande Riviere,YGL,53.62530136,-77.70420074
Gaspé (Michel-Pouliot) Airport,Gaspe,YGP,48.77529907,-64.47859955
Geraldton Greenstone Regional Airport,Geraldton,YGQ,49.77830124,-86.93939972
Îles-de-la-Madeleine Airport,Iles De La Madeleine,YGR,47.42470169,-61.77809906
Hudson Bay Airport,Hudson Bay,YHB,52.81669998,-102.310997
Dryden Regional Airport,Dryden,YHD,49.831699,-92.744202
Ulukhaktok Holman Airport,Holman Island,YHI,70.76280212,-117.8059998
Gjoa Haven Airport,Gjoa Haven,YHK,68.63559723,-95.84970093
John C. Munro Hamilton International Airport,Hamilton,YHM,43.17359924,-79.93499756
Montréal / Saint-Hubert Airport,Montreal,YHU,45.51750183,-73.41690063
Hay River / Merlyn Carter Airport,Hay River,YHY,60.83969879,-115.7829971
Halifax / Stanfield International Airport,Halifax,YHZ,44.88079834,-63.50859833
Atikokan Municipal Airport,Atikokan,YIB,48.77389908,-91.63860321
Pond Inlet Airport,Pond Inlet,YIO,72.6832962,-77.96669769
St Jean Airport,St. Jean,YJN,45.29439926,-73.28109741
Stephenville Airport,Stephenville,YJT,48.5442009,-58.54999924
Kamloops Airport,Kamloops,YKA,50.70220184,-120.4440002
Waterloo Airport,Waterloo,YKF,43.46080017,-80.37860107
Schefferville Airport,Schefferville,YKL,54.80530167,-66.80529785
Kindersley Airport,Kindersley,YKY,51.51750183,-109.1809998
Buttonville Municipal Airport,Toronto,YKZ,43.86220169,-79.37000275
Chapleau Airport,Chapleau,YLD,47.81999969,-83.34670258
Meadow Lake Airport,Meadow Lake,YLJ,54.12530136,-108.5230026
Lloydminster Airport,Lloydminster,YLL,53.30920029,-110.072998
Alert Airport,Alert,YLT,82.51779938,-62.2806015
Kelowna International Airport,Kelowna,YLW,49.95610046,-119.3779984
Mayo Airport,Mayo,YMA,63.61640167,-135.8679962
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,YMJ,50.33029938,-105.5589981
Fort McMurray Airport,Fort Mcmurray,YMM,56.65330124,-111.2220001
Moosonee Airport,Moosonee,YMO,51.29109955,-80.60780334
Maniwaki Airport,Maniwaki,YMW,46.27280045,-75.99060059
Montreal International (Mirabel) Airport,Montreal,YMX,45.679501,-74.038696
Natashquan Airport,Natashquan,YNA,50.18999863,-61.78919983
Ottawa / Gatineau Airport,Gatineau,YND,45.52170181,-75.56359863
Matagami Airport,Matagami,YNM,49.76169968,-77.80280304
Old Crow Airport,Old Crow,YOC,67.57060242,-139.8390045
CFB Cold Lake,Cold Lake,YOD,54.40499878,-110.2789993
High Level Airport,High Level,YOJ,58.62139893,-117.1650009
Ottawa Macdonald-Cartier International Airport,Ottawa,YOW,45.32249832,-75.66919708
Prince Albert Glass Field,Prince Albert,YPA,53.21419907,-105.6729965
Peace River Airport,Peace River,YPE,56.226898,-117.446999
Southport Airport,Portage-la-prairie,YPG,49.903099,-98.273817
Pitt Meadows Airport,Pitt Meadows,\N,49.21609879,-122.7099991
Pickle Lake Airport,Pickle Lake,YPL,51.44639969,-90.21420288
Port Menier Airport,Port Menier,YPN,49.83639908,-64.28859711
Peterborough Airport,Peterborough,YPQ,44.22999954,-78.36329651
Prince Rupert Airport,Prince Pupert,YPR,54.28609848,-130.4450073
Fort Chipewyan Airport,Fort Chipewyan,YPY,58.76720047,-111.1169968
Muskoka Airport,Muskoka,YQA,44.97470093,-79.30329895
Quebec Jean Lesage International Airport,Quebec,YQB,46.7911,-71.393303
Red Deer Regional Airport,Red Deer Industrial,YQF,52.18220139,-113.8939972
Windsor Airport,Windsor,YQG,42.27560043,-82.95559692
Watson Lake Airport,Watson Lake,YQH,60.11640167,-128.8220062
Kenora Airport,Kenora,YQK,49.78829956,-94.36309814
Lethbridge County Airport,Lethbridge,YQL,49.63029861,-112.8000031
Greater Moncton International Airport,Moncton,YQM,46.11220169,-64.6785965
Comox Airport,Comox,YQQ,49.71080017,-124.887001
Regina International Airport,Regina,YQR,50.43190002,-104.6660004
Thunder Bay Airport,Thunder Bay,YQT,48.37189865,-89.32389832
Grande Prairie Airport,Grande Prairie,YQU,55.17969894,-118.8850021
Yorkton Municipal Airport,Yorkton,YQV,51.26470184,-102.461998
North Battleford Airport,North Battleford,YQW,52.76919937,-108.2440033
Gander International Airport,Gander,YQX,48.93690109,-54.56809998
Sydney / J.A. Douglas McCurdy Airport,Sydney,YQY,46.1614,-60.047798
Quesnel Airport,Quesnel,YQZ,53.02610016,-122.5100021
Resolute Bay Airport,Resolute,YRB,74.71690369,-94.9693985
Rivière-du-Loup Airport,Riviere Du Loup,YRI,47.76440048,-69.58470154
Roberval Airport,Roberval,YRJ,48.52000046,-72.26560211
Rocky Mountain House Airport,Rocky Mountain House,YRM,52.42969894,-114.9039993
Rankin Inlet Airport,Rankin Inlet,YRT,62.81140137,-92.11579895
Sudbury Airport,Sudbury,YSB,46.625,-80.79889679
Sherbrooke Airport,Sherbrooke,YSC,45.43859863,-71.69139862
Saint John Airport,St. John,YSJ,45.31610107,-65.89029694
Fort Smith Airport,Fort Smith,YSM,60.02030182,-111.961998
Nanisivik Airport,Nanisivik,YSR,72.982201,-84.613602
Summerside Airport,Summerside,YSU,46.44060135,-63.83359909
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,YSY,71.99389648,-125.2429962
Cape Dorset Airport,Cape Dorset,YTE,64.23000336,-76.52670288
Thompson Airport,Thompson,YTH,55.80110168,-97.86419678
CFB Trenton,Trenton,YTR,44.1189003,-77.52809906
Timmins/Victor M. Power,Timmins,YTS,48.56969833,-81.37670136
Billy Bishop Toronto City Centre Airport,Toronto,YTZ,43.627499,-79.396202
Tuktoyaktuk Airport,Tuktoyaktuk,YUB,69.4332962,-133.026001
Montreal / Pierre Elliott Trudeau International Airport,Montreal,YUL,45.47060013,-73.74079895
Repulse Bay Airport,Repulse Bay,YUT,66.52140045,-86.22470093
Hall Beach Airport,Hall Beach,YUX,68.77610016,-81.2425
Rouyn Noranda Airport,Rouyn,YUY,48.20610046,-78.83560181
La Ronge Airport,La Ronge,YVC,55.15140152,-105.262001
Vermilion Airport,Vermillion,YVG,53.35580063,-110.8239975
Qikiqtarjuaq Airport,Broughton Island,YVM,67.54579926,-64.03140259
Val-d'Or Airport,Val D'or,YVO,48.05329895,-77.78279877
Kuujjuaq Airport,Quujjuaq,YVP,58.09609985,-68.42690277
Norman Wells Airport,Norman Wells,YVQ,65.28160095,-126.7979965
Vancouver International Airport,Vancouver,YVR,49.19390106,-123.1839981
Buffalo Narrows Airport,Buffalo Narrows,YVT,55.84189987,-108.4179993
Wiarton Airport,Wiarton,YVV,44.7458,-81.107201
Petawawa Airport,Petawawa,YWA,45.95220184,-77.31919861
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,YWG,49.90999985,-97.23989868
Wabush Airport,Wabush,YWK,52.9219017,-66.86440277
Williams Lake Airport,Williams Lake,YWL,52.18310165,-122.0540009
Wrigley Airport,Wrigley,YWY,63.20940018,-123.4369965
Cranbrook/Canadian Rockies International Airport,Cranbrook,YXC,49.6108017,-115.7819977
Edmonton City Centre (Blatchford Field) Airport,Edmonton,YXD,53.57249832,-113.5210037
Saskatoon John G. Diefenbaker International Airport,Saskatoon,YXE,52.17079926,-106.6999969
Medicine Hat Airport,Medicine Hat,YXH,50.01890182,-110.7210007
Fort St John Airport,Fort Saint John,YXJ,56.23809814,-120.7399979
Sioux Lookout Airport,Sioux Lookout,YXL,50.11389923,-91.90529633
Pangnirtung Airport,Pangnirtung,YXP,66.14499664,-65.71360016
Earlton (Timiskaming Regional) Airport,Earlton,YXR,47.69740065,-79.84734535
Prince George Airport,Prince George,YXS,53.88940048,-122.6790009
Northwest Regional Airport Terrace-Kitimat,Terrace,YXT,54.468498,-128.576009
London Airport,London,YXU,43.035599,-81.1539
Abbotsford Airport,Abbotsford,YXX,49.02529907,-122.3610001
Whitehorse / Erik Nielsen International Airport,Whitehorse,YXY,60.70959854,-135.0670013
North Bay Jack Garland Airport,North Bay,YYB,46.363602,-79.422798
Calgary International Airport,Calgary,YYC,51.11389923,-114.0199966
Smithers Airport,Smithers,YYD,54.8246994,-127.1829987
Fort Nelson Airport,Fort Nelson,YYE,58.83639908,-122.5970001
Penticton Airport,Penticton,YYF,49.46310043,-119.6019974
Charlottetown Airport,Charlottetown,YYG,46.29000092,-63.12110138
Taloyoak Airport,Spence Bay,YYH,69.54669952,-93.5766983
Victoria International Airport,Victoria,YYJ,48.64690018,-123.4260025
Lynn Lake Airport,Lynn Lake,YYL,56.86389923,-101.0759964
Swift Current Airport,Swift Current,YYN,50.29190063,-107.6910019
Churchill Airport,Churchill,YYQ,58.73920059,-94.06500244
Goose Bay Airport,Goose Bay,YYR,53.31919861,-60.42580032
St. John's International Airport,St. John's,YYT,47.61859894,-52.75189972
Kapuskasing Airport,Kapuskasing,YYU,49.41389847,-82.46749878
Armstrong Airport,Armstrong,YYW,50.29029846,-88.90969849
Mont Joli Airport,Mont Joli,YYY,48.60860062,-68.20809937
Lester B. Pearson International Airport,Toronto,YYZ,43.67720032,-79.63059998
Downsview Airport,Toronto,YZD,43.74250031,-79.46559906
Gore Bay Manitoulin Airport,Gore Bay,YZE,45.88529968,-82.56780243
Yellowknife Airport,Yellowknife,YZF,62.46279907,-114.4400024
Slave Lake Airport,Slave Lake,YZH,55.29309845,-114.7770004
Sandspit Airport,Sandspit,YZP,53.25429916,-131.8139954
Chris Hadfield Airport,Sarnia,YZR,42.99940109,-82.30889893
Port Hardy Airport,Port Hardy,YZT,50.68059921,-127.3669968
Whitecourt Airport,Whitecourt,YZU,54.14390182,-115.7870026
Sept-Îles Airport,Sept-iles,YZV,50.22330093,-66.26560211
Teslin Airport,Teslin,YZW,60.17279816,-132.7429962
CFB Greenwood,Greenwood,YZX,44.9844017,-64.91690063
Faro Airport,Faro,ZFA,62.20750046,-133.3760071
Fort Mcpherson Airport,Fort Mcpherson,ZFM,67.40750122,-134.8609924
Blida Airport,Blida,QLD,36.50360107,2.814169884
Bou Saada Airport,Bou Saada,BUJ,35.33250046,4.206389904
Soummam Airport,Bejaja,BJA,36.7120018,5.069920063
Houari Boumediene Airport,Algier,ALG,36.69100189,3.215409994
Djanet Inedbirene Airport,Djanet,DJG,24.292801,9.45244
Boufarik Airport,Boufarik,\N,36.545799,2.87611
Reggane Airport,Reggan,\N,26.7101,0.285647
Illizi Takhamalt Airport,Illizi,VVZ,26.7234993,8.622650146
Ain Oussera Airport,Ain Oussera,\N,35.52539825,2.878710032
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,TMR,22.81150055,5.451079845
Jijel Ferhat Abbas Airport,Jijel,GJL,36.79510117,5.87361002
Mecheria Airport,Mecheria,MZW,33.53590012,-0.242353007
Relizane Airport,Relizane,\N,35.752201,0.626272
Rabah Bitat Airport,Annaba,AAE,36.822201,7.809174
Mohamed Boudiaf International Airport,Constantine,CZL,36.27600098,6.620389938
